Part_ID,RowID,ColID,Is_Edge,Powder,Layout,PlateID,BuildDate,B3_DATUM_B_LOC,B3_REF_OD,C1_LOC_INSIDE_PLN,C4_LOC_TOP_PLN,B3_THICK1_WALL,B3_THICK2_WALL,B3_THICK3_WALL,B3_THICK4_WALL
Ma11,1,11,Edge,Recycled,11X11TA,M,8/23/2019,0.4158,0.4479,0.0530,0.2653,0.0163,0.0170,0.0167,0.0159
Mk7,11,7,Edge,Recycled,11X11TA,M,8/23/2019,0.4164,0.4494,0.0541,0.2680,0.0155,0.0153,0.0160,0.0153
Na6,1,6,Edge,Recycled,11X11TA,N,8/26/2019,0.4164,0.4486,0.0564,0.2690,0.0153,0.0157,0.0152,0.0154
Nh11,8,11,Edge,Recycled,11X11TA,N,8/26/2019,0.4175,0.4494,0.0552,0.2686,0.0157,0.0155,0.0163,0.0186
Qa6,1,6,Edge,Recycled,11X11TA,Q,8/29/2019,0.4167,0.4495,0.0530,0.2651,0.0152,0.0172,0.0164,0.0156
Qb1,2,1,Edge,Recycled,11X11TA,Q,8/29/2019,0.4162,0.4488,0.0534,0.2657,0.0157,0.0153,0.0168,0.0157
Qd7,4,7,Center,Recycled,11X11TA,Q,8/29/2019,0.4166,0.4488,0.0536,0.2662,0.0160,0.0165,0.0151,0.0150
Qk5,11,5,Edge,Recycled,11X11TA,Q,8/29/2019,0.4167,0.4494,0.0545,0.2665,0.0192,0.0156,0.0150,0.0162
Qk7,11,7,Edge,Recycled,11X11TA,Q,8/29/2019,0.4167,0.4485,0.0529,0.2662,0.0159,0.0154,0.0155,0.0159
Ri8,9,8,Center,Recycled,11X11TA,R,8/30/2019,0.4157,0.4506,0.0534,0.2667,0.0155,0.0180,0.0152,0.0191
Da1,1,1,Edge,Virgin,11X11TA,D,8/8/2019,0.4171,0.4475,0.0553,0.2683,0.0153,0.0181,0.0159,0.0159
Ga5,1,5,Edge,Virgin,6X6TA,G,8/13/2019,0.4170,0.4485,0.0552,0.2674,0.0151,0.0160,0.0141,0.0144
Hg1,7,1,Edge,Virgin,11X11TA,H,8/14/2019,0.4177,0.4472,0.0538,0.2665,0.0156,0.0150,0.0156,0.0156
Hk5,11,5,Edge,Virgin,11X11TA,H,8/14/2019,0.4173,0.4477,0.0545,0.2668,0.0151,0.0150,0.0147,0.0162
Jk5,11,5,Edge,Virgin,11X11TA,J,8/16/2019,0.4167,0.4493,0.0547,0.2673,0.0157,0.0160,0.0160,0.0164
